,fuel,make,odometer,price,title status,transmission,VIN,condition,drive,paint color,type,cylinders,size,price_num
613, gas,2008 acura tl type s, 105000,"$12,999", clean, automatic, 19UUA76548A800091, like new, fwd, silver, sedan, 6 cylinders,,12999
614, gas,1993 bmw 325is, 291000,"$3,500", clean, automatic,, good, rwd, red, coupe, 6 cylinders, compact,3500
615, gas,2006 Honda Accord, 196745,"$4,500", clean, automatic,, excellent, fwd, grey, sedan, 4 cylinders,,4500
616, gas,1987 volkswagen jetta, 235000,"$2,700", clean, manual,, excellent, fwd, black, sedan, 4 cylinders, compact,2700
617, gas,2008 Dodge Ram 2500, 185062,"$15,995", clean, automatic, 3D7KS28D68G184296, excellent, 4wd, red, pickup,,,15995
618, gas,2018 volkswagen tiguan, 11258,"$28,531", clean, automatic,, excellent, 4wd, grey, SUV, 4 cylinders, mid-size,28531
619, gas,2017 mazda5, 38233,"$17,321", clean, automatic,, excellent, fwd, red, mini-van, 4 cylinders,,17321
620, gas,1929 Ford Model A, 12345,"$19,500", clean, other,,,,, coupe,,,19500
621, diesel,2013 HINO 195, 300000,"$25,000", clean, automatic,, excellent, rwd, white,,,,25000
622, diesel,2006 Gmc 5500, 170000,"$22,000", clean, automatic,, like new, rwd, white,, 4 cylinders,,22000
623, gas,2002 mazda protege5, 261000,"$1,200", clean, automatic,, fair, fwd, silver, hatchback, 4 cylinders, compact,1200
624, gas,2012 audi a4 2.0t quattro, 185000,"$8,000", rebuilt, automatic,, good, 4wd, silver, sedan, 4 cylinders, mid-size,8000
625, gas,2018 mercedes metris passenger van, 47000,"$26,500", rebuilt, automatic,, like new, fwd, black, van, 4 cylinders,,26500
626, gas,2005 GMC jimmy, 93910,"$6,500", clean, automatic,, good, 4wd, green, truck, 4 cylinders, mid-size,6500
627, gas,2005 mercedes-benz clk500, 272000,"$5,500", clean, automatic,, fair, rwd, silver, coupe, 8 cylinders,,5500
628, other,1986 Chevrolet Grumman, 145,"$9,000", clean, automatic,, excellent, rwd, brown, van, 8 cylinders, mid-size,9000
629, gas,2008 toyota yaris le, 222222,"$5,555", clean, automatic,, excellent, fwd, silver, hatchback, 4 cylinders, compact,5555
630, gas,2020 Toyota Corolla, 22405,"$20,998", clean, automatic,,, , custom, sedan,,,20998
631, hybrid,2021 toyota prius prime, 0,"$33,150", clean, automatic, 0, new, fwd, white, hatchback, 4 cylinders, compact,33150
632, gas,2006 ford e250, 320000,"$2,600", clean, automatic,, good, rwd, white, van, 8 cylinders,,2600
633, gas,2008 nissan versa, 128000,"$3,999", rebuilt, automatic,, good, fwd, blue, hatchback, 4 cylinders, compact,3999
634, gas,2011 dodge durango, 201000,"$5,500", clean, automatic,, good, 4wd, black, SUV, 6 cylinders,,5500
635, diesel,2011 bmw x5 xdrive35d, 144298,"$16,900", clean, automatic,, excellent, 4wd,, SUV,,,16900
636, gas,2000 toyota celics gts, 231000,"$7,250", clean, manual,, good, fwd,,,,,7250
637, gas,2015 Nissan Rogue S, 125000,"$11,250", clean, automatic,, good, fwd, white, SUV, 4 cylinders, mid-size,11250
638, gas,2011 Ford Flex, 151982,"$6,999", clean, automatic,, excellent, fwd, black, SUV, 6 cylinders,,6999
639, gas,2014 cadillac srx premium, 107235,"$23,995", clean, automatic,, excellent, 4wd, red, SUV, 6 cylinders, mid-size,23995
640, gas,2009 dodge charger, 200008,"$5,300", clean, automatic,, excellent, rwd, red, sedan, 6 cylinders, mid-size,5300
641, gas,2010 honda civic ex-l, 112896,"$9,986", clean, automatic, 2HGFG1B07AH002934, excellent, fwd, grey, coupe, 4 cylinders, compact,9986
642, gas,2018 Chrysler Pacifica Pacifica-L, 29546,"$24,999", clean, automatic,, like new, fwd, blue, mini-van, 6 cylinders,,24999
643, gas,2000 bmw, 317000,"$1,900", clean, automatic,,,,,,,,1900
644, gas,2016 porsche 911 carrera s, 18688,"$112,895", clean, automatic, WP0AB2A96GS122271, excellent, rwd, black, coupe, 6 cylinders,,112895
645, gas,1993 bmw, 290000,"$3,500", clean, automatic,, good, rwd, red, coupe, 6 cylinders, compact,3500
646, gas,2011 hyundai elantra gls, 106600,"$8,965", clean, automatic, 5NPDH4AE3BH037920, excellent, fwd, grey, sedan, 4 cylinders, compact,8965
647, gas,2010 mazda 3, 92000,"$6,500", rebuilt, automatic,, excellent, fwd, black, hatchback, 4 cylinders,,6500
648, gas,2016 Chrysler 200 LX, 90065,"$9,383", clean, automatic,, like new, fwd, grey, sedan, 4 cylinders,,9383
649, electric,2011 nissan leaf sl, 101000,"$11,874", clean, automatic, JN1AZ0CP4BT003961, excellent, fwd, black, hatchback, other, compact,11874
650, gas,2015 BMW X5 xDrive35I, 100,"$34,888", clean, automatic,, excellent, 4wd, black, SUV, 6 cylinders,,34888
651, gas,2003 acura tl, 190652,"$4,900", clean, automatic,, excellent, fwd, white, sedan, 6 cylinders,,4900
652, gas,2019 Mercedes Benz Sprinter 2500, 15000,"$1,366", clean, automatic,, like new,, black,, 6 cylinders, full-size,1366
653, gas,2014 volkswagen jetta, 74663,"$11,968", clean, automatic, 3VW2K7AJ1EM221403, excellent, fwd, blue, sedan, 4 cylinders, compact,11968
654, gas,2015 mazda mazda5 gs, 108000,"$12,900", clean, automatic, JM1CW2CL7F0187484, excellent, fwd, red, mini-van, 4 cylinders, compact,12900
655, gas,2016 nissan altima 2.5 sv, 85400,"$12,965", clean, automatic, 1N4AL3AP3GN365400, excellent, fwd, white, sedan, 4 cylinders, mid-size,12965
656, gas,2019 Audi Q7 Progressiv, 22340,"$58,588", clean, automatic,, like new, 4wd, black, SUV, 6 cylinders,,58588
657, gas,2012 honda civic, 79500,"$8,900", clean, automatic,, excellent, fwd, black, sedan, 4 cylinders,,8900
658, gas,2014 mini cooper countryman s all4, 128000,"$14,960", clean, automatic, WMWZC5C59EWP36780, excellent, 4wd, silver, SUV, 4 cylinders, compact,14960
659, gas,2018 Honda Civic, 27480,"$17,995", clean, automatic, 2HGFC2F53JH017888, excellent, fwd,, sedan,,,17995
660, gas,2000 bmw, 317,"$1,900", clean, automatic,,,,,,,,1900
661, gas,2016 mazda mazda3 sport gs, 85001,"$14,986", clean, automatic, 3MZBM1L73GM323569, excellent, fwd, white, hatchback, 4 cylinders, compact,14986
662, hybrid,2021 toyota highlander hybrid, 0,"$44,490", clean, automatic,, new, 4wd, white, SUV, 4 cylinders, full-size,44490
663, gas,2017 mazda mazda6 grand touring, 135782,"$14,996", clean, automatic, JM1GL1W57H1108751, excellent, fwd, white, sedan, 4 cylinders, mid-size,14996
664, gas,2018 mazda mazda3 gs-sky, 70100,"$15,468", clean, automatic, JM1BN1V71J1159269, excellent, fwd, red, sedan, 4 cylinders, compact,15468
665, gas,2016 audi s5, 38668,"$43,900", clean, automatic,, like new, 4wd, black, convertible, 6 cylinders,,43900
666, diesel,2003 Ford f250, 330000,"$2,500", clean, automatic,, fair,, white,, 8 cylinders,,2500
667, gas,2017 mazda mazda6 gs-l, 57500,"$15,986", clean, automatic, JM1GL1V52H1107394, excellent, fwd, blue, sedan, 4 cylinders, mid-size,15986
668, gas,1999 toyota tercel, 163000,"$2,500", clean, automatic, JT2BC53L1X0341364, fair, fwd,,, 4 cylinders,,2500
669, hybrid,2021 toyota rav4 hybrid limited, 10,"$43,350", clean, automatic,, new, 4wd, silver, SUV, 4 cylinders, mid-size,43350
670, gas,2013 audi a3 2.0t, 67570,"$16,900", clean, manual,, excellent, fwd, black, hatchback, 4 cylinders, compact,16900
671, gas,2003 toyota echo, 308000,"$1,400", rebuilt, automatic,, excellent,, silver,,,,1400
672, gas,2019 Honda Fit, 38975,"$17,995", clean, automatic, 3HGGK5H52KM102827, like new, fwd, white,, 4 cylinders,,17995
673, gas,2014 jaguar xfr, 48000,"$32,999", clean, automatic,, like new, rwd, white, sedan, 8 cylinders, full-size,32999
674, gas,2018 mazda mazda3 gs-sky, 62572,"$16,980", clean, automatic, JM1BN1V79J1174554, excellent, fwd, black, sedan, 4 cylinders, compact,16980
675, gas,2007 Nissan Sentra 2.0, 155000,"$2,995", clean, automatic,,, fwd, grey, sedan, 4 cylinders, compact,2995
676, gas,2020 BMW 4 Series 430i xDrive Coupe, 19649,"$40,978", clean, automatic,, like new, 4wd, black, coupe, 4 cylinders,,40978
677, gas,2013 Nissan, 90500,"$7,600", clean, automatic,, excellent, fwd,,, 4 cylinders,,7600
678, gas,2017 bmw x1 xdrive28i, 45269,"$29,900", clean, automatic,, like new, 4wd, white, SUV, 4 cylinders, full-size,29900
679, gas,2019 Toyota Yaris hatchback, 29108,"$17,998", clean, automatic,,, , custom, sedan,,,17998
680, gas,2014 Honda Civic, 84620,"$12,999", clean, automatic, 2HGFB2F55EH014483, like new, fwd, grey,, 4 cylinders,,12999
681, gas,2001 bmw 320i, 142010,"$3,900", clean, automatic,, excellent, rwd, silver, sedan, 6 cylinders, full-size,3900
682, gas,2008 mazda tribute, 252000,"$4,700", clean, automatic,, good,, black, SUV, 6 cylinders,,4700
683, gas,2018 Honda Civic, 67638,"$20,500", clean, automatic, SHHFK7H25JU300153, excellent, fwd,, hatchback,,,20500
684, gas,2006 audi a4 2.0t quattro, 157000,"$6,500", clean, automatic,, like new, 4wd, blue, sedan, 4 cylinders, full-size,6500
685, gas,2003 toyota camry le, 185815,"$5,000", clean, automatic,, excellent, fwd, silver, sedan, 4 cylinders, full-size,5000
686, gas,2014 bmw 328xi, 45110,"$20,900", clean, automatic,, excellent, 4wd, black, sedan, 4 cylinders, full-size,20900
687, gas,2017 mazda mazda3, 50000,"$12,400", rebuilt, automatic,, excellent, fwd, grey, hatchback, 4 cylinders, mid-size,12400
688, gas,2018 Honda HR-V, 29632,"$22,995", clean, automatic, 3CZRU6H56JM106900, like new, 4wd, grey,, 4 cylinders,,22995
689, gas,2017 mazda mazda3 sport gt, 64123,"$16,986", clean, automatic, JM1BN1M30H1118821, excellent, fwd, white, hatchback, 4 cylinders, compact,16986
690, gas,2014 chevrolet cruze, 122485,"$8,900", clean, automatic,, excellent, fwd, grey, sedan, 4 cylinders, mid-size,8900
691, gas,2017 mazda mazda3 gs-sky, 22500,"$16,986", clean, automatic, JM1BN1V71H1143678, excellent, fwd, grey, sedan, 4 cylinders, compact,16986
692, gas,2018 Honda HR-V, 35019,"$23,495", clean, automatic, 3CZRU6H51JM101460, like new, 4wd, white,, 4 cylinders,,23495
693, gas,2016 hyundai tucson, 117300,"$16,986", clean, automatic, KM8J3CA47GU036748, excellent, 4wd, grey, SUV, 4 cylinders, mid-size,16986
694, gas,2014 chevrolet express 2500, 51540,"$23,900", clean, automatic,, like new, rwd, white, van, 8 cylinders, full-size,23900
695, gas,2015 porsche macan s, 37450,"$47,800", clean, automatic,, like new, 4wd, white, SUV, 6 cylinders,,47800
696, gas,2006 dodge magnum sxt, 125700,"$5,900", clean, automatic,, excellent, 4wd, silver, wagon, 6 cylinders, full-size,5900
697, gas,2006 Pontiac Torrent, 179570,"$2,800", clean, automatic,, excellent, fwd, black, SUV, 6 cylinders,,2800
698, hybrid,2021 toyota rav4 hybrid limited, 0,"$43,350", clean, automatic,, new, 4wd, white, SUV, 4 cylinders, mid-size,43350
699, gas,2020 BMW X3 xDrive30i, 9800,"$45,888", clean, automatic,, like new, 4wd, black, SUV, 4 cylinders,,45888
700, gas,2011 mazda 3, 111000,"$5,700", rebuilt, automatic,, good, fwd, grey, sedan, 4 cylinders,,5700
701, gas,2016 Dodge Journey, 62980,"$14,900", clean, automatic,, like new, fwd, grey, SUV, 4 cylinders, full-size,14900
702, gas,2017 mazda mazda3 gs-sky, 24427,"$16,468", clean, automatic, 3MZBN1V78HM122648, excellent, fwd, white, sedan, 4 cylinders, compact,16468
703, gas,2008 honda civic, 179861,"$5,499", clean, automatic, 2HGFA165X8H001598, good, fwd, red, sedan, 4 cylinders, full-size,5499
704, gas,2008 chevrolet aveo, 218000,"$1,450", clean, automatic,, good, fwd, black, sedan,,,1450
705, gas,2002 acura mdx, 3900000,"$2,000", salvage, automatic,, fair,, red, SUV,,,2000
706, gas,2016 mazda cx-3 gs, 75192,"$17,968", clean, automatic, JM1DKBC77G0101434, excellent, fwd, white, SUV, 4 cylinders, compact,17968
707, hybrid,2010 ford fusion, 164710,"$6,900", clean, automatic,, excellent, fwd, black, sedan, 4 cylinders, full-size,6900
708, gas,2018 mazda3 hatchback, 35300,"$18,990", clean, automatic,, excellent, fwd, white, hatchback, 4 cylinders, full-size,18990
709, gas,2010 volvo xc70, 286500,"$2,400", clean, automatic,, good, 4wd, grey, wagon, 4 cylinders,,2400
710, gas,2018 Honda HR-V, 17151,"$26,995", clean, automatic, 3CZRU6H72JM107737, like new, 4wd, black,, 4 cylinders,,26995
711, diesel,2006 Dodge Ram 3500 LARAMIE, 375000,"$20,995", clean, automatic, 3D7MX48C76G156534, excellent, 4wd, black, pickup, 6 cylinders, full-size,20995
712, gas,2018 Honda Civic, 39366,"$16,995", clean, automatic, 2HGFC2F5XJH018200, excellent, fwd,, sedan,,,16995
713, gas,1998 chevy s10 pickup, 268000,"$2,000", rebuilt, automatic,, fair, rwd, black, truck, 6 cylinders,,2000
714, gas,2018 mazda mazda3 sport gs, 51805,"$17,982", clean, automatic, JM1BN1L77J1183689, excellent, fwd, silver, hatchback, 4 cylinders, compact,17982
715, gas,2017 vw jetta tsi, 58200,"$16,688", clean, automatic, 3VWDB7AJ2HM224386, like new, fwd, green,, 4 cylinders,,16688
716, gas,2018 mazda mazda3 gt, 50800,"$17,986", clean, automatic, 3MZBN1W33JM168650, excellent, fwd, red, sedan, 4 cylinders, compact,17986
717, gas,2019 BMW X1 xDrive28i, 34130,"$32,480", clean, automatic,, like new, 4wd, silver, SUV, 4 cylinders,,32480
718, diesel,1991 toyota hilux surf, 180000,"$9,000", clean, automatic,, good, 4wd, blue, SUV, 4 cylinders, mid-size,9000
719, gas,2006 Ford Mustang V6 Convertible, 111490,"$10,700", clean, automatic,, excellent, rwd, black, convertible, 6 cylinders, mid-size,10700
720, gas,2016 mazda cx-5 gt awd, 117415,"$17,990", clean, automatic, JM3KE4DY1G0904930, excellent, 4wd, white, SUV, 4 cylinders, mid-size,17990
721, gas,2016 mazda cx-5 gs, 88200,"$17,996", clean, automatic, JM3KE2CY8G0681517, excellent, fwd, white, SUV, 4 cylinders, mid-size,17996
722, gas,2017 mazda mazda3 gt, 26800,"$18,683", clean, automatic, JM1BN1W33H1144326, excellent, fwd, blue, sedan, 4 cylinders, compact,18683
723, gas,2003 BMW 330XI, 163500,"$5,000", clean, automatic,, good, 4wd, silver, sedan, 6 cylinders, mid-size,5000
724, gas,2018 Acura RDX, 48461,"$31,995", clean, automatic, 5J8TB4H50JL804119, like new, 4wd, black,, 6 cylinders,,31995
725, gas,2018 mazda cx-3 gx awd, 51386,"$18,886", clean, automatic, JM1DKFB72J1302216, excellent, 4wd, black, SUV, 4 cylinders, compact,18886
726, gas,2015 Ford Escape, 70030,"$10,900", rebuilt, automatic,, excellent, 4wd, white, SUV, 4 cylinders, full-size,10900
727, gas,2018 mazda mazda3 gt, 31643,"$17,698", clean, automatic, 3MZBN1W3XJM171545, excellent, fwd, white, sedan, 4 cylinders, compact,17698
728, gas,2019 BMW X1 xDrive28i, 30440,"$32,476", clean, automatic,, like new, 4wd, white, SUV, 4 cylinders,,32476
729, gas,2004 Pontiac Sunfire Auto, 180000,"$1,995", clean, automatic,,, fwd, blue, sedan, 4 cylinders, compact,1995
730, gas,2019 Honda Odyssey, 26877,"$43,495", clean, automatic, 5FNRL6H86KB510580, like new, fwd, grey,, 6 cylinders,,43495
731, gas,2017 jeep patriot 4x4, 54252,"$18,968", clean, automatic, 1C4NJRAB6HD155535, excellent, 4wd, white, SUV, 4 cylinders, compact,18968
732, gas,2017 mazda mazda3 gt, 62200,"$18,986", clean, automatic, JM1BN1W30H1137818, excellent, fwd, black, sedan, 4 cylinders, compact,18986
733, gas,2017 ford f-150, 88310,"$49,900", clean, automatic,, excellent, 4wd, black, truck, 6 cylinders, full-size,49900
734, gas,2010 Ford Flex, 182500,"$8,000", clean, automatic,, excellent,,, SUV, 6 cylinders,,8000
735, gas,2018 mazda mazda3 gt, 68000,"$18,990", clean, automatic, 3MZBN1W33JM163206, excellent, fwd, grey, sedan, 4 cylinders, compact,18990
736, gas,2019 ford mustang, 17782,"$29,900", clean, automatic,, like new, rwd, white, coupe, 4 cylinders, full-size,29900
737, gas,2013 audi rs5, 96000,"$37,999", clean, automatic,, excellent, 4wd, black,, 8 cylinders,,37999
738, gas,2000 mercedes e320 4matic, 220000,"$2,900", clean, automatic,, excellent,, silver, sedan,,,2900
739, gas,2020 Honda civic, 2100,"$21,800", rebuilt, automatic,, excellent, fwd,,,,,21800
740, gas,2018 Toyota Tacoma, 51696,"$41,995", clean, automatic, 5TFDZ5BN6JX035504, like new, 4wd, white,, 6 cylinders,,41995
741, gas,2018 Honda Civic, 28816,"$18,500", clean, automatic, 2HGFC2F54JH017852, excellent, fwd,, sedan,,,18500
742, gas,2019 Land Rover Discovery Sport, 35650,"$35,995", clean, automatic,, like new, 4wd, white, SUV, 4 cylinders,,35995
743, gas,2016 honda civic ex coupe, 27000,"$19,869", clean, automatic, 2HGFC3B37GH425880, excellent, fwd, blue, coupe, 4 cylinders, compact,19869
744, gas,2004 toyota solara, 228000,"$4,500", clean, automatic,, good,, black,, 6 cylinders,,4500
745, gas,2013 mazda 3, 157000,"$7,900", clean, automatic,, excellent, fwd, blue,, 4 cylinders,,7900
746, diesel,2015 mercedes benz, 64000,"$31,700", clean, automatic,, excellent, 4wd, black, SUV, 4 cylinders, mid-size,31700
747, gas,2015 gmc yukon denali, 49538,"$49,900", clean, automatic,, excellent, 4wd, black, SUV, 8 cylinders, full-size,49900
748, gas,2019 Toyota Corolla Hatchback, 30814,"$20,998", clean, automatic,,, , custom, sedan,,,20998
749, gas,2004 Mercedes Benz suv ml350-$5995, 91000,"$5,995", clean, automatic,, like new, 4wd, red, SUV, 6 cylinders, mid-size,5995
750, gas,2012 BMW X1, 115000,"$10,499", rebuilt, automatic,, excellent, 4wd, white, SUV, 4 cylinders,,10499
751, gas,2019 Land Rover Discovery Sport, 41650,"$34,950", clean, automatic,, like new, 4wd, black, SUV, 4 cylinders,,34950
752, gas,2005 Honda Civic, 206900,"$2,800", clean, automatic,, excellent, fwd, silver, sedan, 4 cylinders,,2800
753, gas,2006 Volkswagen Jetta, 236000,"$3,600", rebuilt, automatic,, excellent, fwd, silver, sedan, 4 cylinders, mid-size,3600
754, gas,2005 Kia Amanti, 138000,"$5,500", rebuilt, automatic,, like new, fwd, grey, sedan, 6 cylinders, full-size,5500
755, gas,2008 Volkswagen Jetta City, 138000,"$5,800", rebuilt, automatic,, excellent, fwd, white, sedan, 4 cylinders, sub-compact,5800
756, gas,2005 Toyota Camry xle, 207000,"$3,800", clean, automatic,, good, fwd, silver, sedan, 6 cylinders, mid-size,3800
757, gas,2011 Hyundai Accent SE, 101455,"$3,250", clean, manual,, excellent, fwd, grey, hatchback, 4 cylinders, compact,3250
758, gas,2011 Toyota Matrix Hatch Back, 170643,"$7,995", clean, automatic, 2T1KU4EE7BC715097, excellent, fwd, blue, hatchback, 4 cylinders, mid-size,7995
759, gas,2006 bmw 328xi xdrive awd, 140000,"$7,250", rebuilt, automatic,, excellent, 4wd, blue, sedan, 6 cylinders, mid-size,7250
760, gas,2019 Mercedes Benz GLE43 AMG, 27211,"$74,995", clean, automatic,, excellent, 4wd,,, 6 cylinders,,74995
761, gas,2018 Honda Civic, 50255,"$17,250", clean, automatic, 2HGFC2F56JH006433, like new, fwd, grey,, 4 cylinders,,17250
762, gas,2016 gmc terrain sle awd, 61258,"$19,980", clean, automatic, 2GKFLSEK6G6120804, excellent, 4wd, white, SUV, 4 cylinders, mid-size,19980
763, gas,2012 gmc sierra 1500, 125000,"$12,000", clean, automatic,,,,,,,,12000
764, gas,2011 honda civic, 57530,"$11,900", clean, automatic,, like new, fwd, silver, sedan, 4 cylinders, compact,11900
765, gas,2017 CADILLAC XTS, 23500,"$29,800", clean, automatic, 2G61N5S35H9189971, excellent, 4wd, black, sedan,,,29800
766, gas,2020 Jeep Grand Cherokee Limited, 11645,"$44,488", clean, automatic,, like new, 4wd, white, SUV, 6 cylinders,,44488
767, gas,2018 Honda Civic, 27074,"$16,995", clean, automatic, 2HGFC2F51JH018232, excellent, fwd,, sedan,,,16995
768, gas,2019 volkswagen jetta, 22300,"$19,986", clean, automatic, 3VWE57BUXKM022360, excellent, fwd, white, sedan, 4 cylinders, compact,19986
769, gas,2006 Acura TL, 226000,"$4,500", clean, automatic,, excellent,, grey,, 6 cylinders,,4500
770, gas,2009 honda civic, 92250,"$9,900", clean, automatic,, excellent, fwd, silver, sedan, 4 cylinders, full-size,9900
771, gas,1964 ford galaxie 500 convertible, 2400000,"$2,000", missing, automatic,,,,,, 8 cylinders,,2000
772, gas,2011 honda civic, 172581,"$6,900", clean, automatic,, excellent, fwd, grey, sedan, 4 cylinders, compact,6900
773, gas,2017 mazda cx-3 gx awd, 26859,"$19,986", clean, automatic, JM1DKFB78H0163659, excellent, 4wd, white, SUV, 4 cylinders, compact,19986
774, electric,2014 fiat 500e, 62000,"$11,986", clean, automatic,, like new, fwd, red, hatchback, other, compact,11986
775, gas,2007 honda cr-v, 105000,"$8,300", rebuilt, automatic,, good, 4wd,,, 4 cylinders,,8300
776, gas,2018 mazda cx-3 gs, 41675,"$19,986", clean, automatic, JM1DKDC77J0309557, excellent, fwd, blue, SUV, 4 cylinders, compact,19986
777, gas,2013 audi q5, 172000,"$12,499", rebuilt, automatic,, excellent, 4wd, white,, 4 cylinders,,12499
778, gas,2018 mazda mazda3 gt, 14132,"$20,965", clean, automatic, 3MZBN1W31JM180439, excellent, fwd, red, sedan, 4 cylinders, compact,20965
779, gas,2017 honda civic si coupe, 68000,"$22,986", clean, manual, 2HGFC3A54HH220182, excellent, fwd, black, coupe, 4 cylinders, compact,22986
780, gas,2009 subaru forester, 249220,"$7,995", clean, automatic,,,, blue,,,,7995
781, gas,2015 mercedes-benz cla250, 49509,"$22,986", clean, automatic, WDDSJ4EB7FN171031, excellent, fwd, silver, coupe, 4 cylinders, compact,22986
782, gas,2018 Honda Civic, 5220,"$20,900", clean, automatic,, like new, fwd, white, sedan, 4 cylinders, full-size,20900
783, gas,2020 Jeep Grand Cherokee Limited, 17764,"$42,999", clean, automatic,, like new, 4wd, grey, SUV, 6 cylinders,,42999
784, gas,1996 mazda protege, 222000,"$1,600", clean, automatic,, excellent, fwd, red, sedan, 4 cylinders, mid-size,1600
785, gas,2009 dodge journey, 241800,"$3,900", clean, automatic,, excellent, fwd, red, SUV, 4 cylinders, full-size,3900
786, gas,2015 Volkswagen Jetta, 129903,"$10,495", clean, automatic, 3VWD07AJXFM297797, like new, fwd, black,, 4 cylinders,,10495
787, gas,2018 Honda Civic, 23844,"$18,950", clean, automatic, 2HGFC2F59JH010914, excellent, fwd,, sedan,,,18950
788, gas,2017 mazda mazda3 gt, 58216,"$16,986", clean, automatic, JM1BN1W32H1118199, excellent, fwd, white, sedan, 4 cylinders, compact,16986
789, gas,2020 Nissan Qashqai, 20591,"$26,495", clean, automatic, JN1BJ1CW7LW378882, like new, 4wd, black,, 4 cylinders,,26495
790, gas,2016 hyundai elantra, 64645,"$13,900", clean, automatic,, like new, fwd, silver, sedan, 4 cylinders, mid-size,13900
791, gas,2009 hyundai elantra, 56990,"$7,900", clean, automatic,, excellent, fwd, silver, sedan, 4 cylinders, mid-size,7900
792, gas,2018 mazda mazda3 gt, 28696,"$22,986", clean, automatic, 3MZBN1W32JM199078, excellent, fwd, custom, sedan, 4 cylinders, compact,22986
793, gas,2018 Honda HR-V, 35957,"$19,750", clean, automatic, 3CZRU5H34JM100070, like new, fwd, grey,, 4 cylinders,,19750
794, gas,2016 Volkswagen GTI, 64537,"$21,750", clean, manual, 3VWY47AU8GM044186, like new, fwd, white,, 4 cylinders,,21750
795, gas,2005 infiniti g35, 184499,"$5,900", clean, automatic,, excellent, 4wd, black, sedan, 6 cylinders, full-size,5900
796, hybrid,2017 chevrolet volt lt, 67000,"$23,986", clean, automatic, 1G1RA6S55HU132765, excellent, fwd, brown, hatchback, 4 cylinders, compact,23986
797, gas,2017 Mitsubishi RVR, 42228,"$20,495", clean, automatic, JA4AJ4AW7HZ603654, like new, 4wd, white,, 4 cylinders,,20495
798, gas,2020 Jeep Grand Cherokee, 40736,"$33,995", clean, automatic, 1C4RJFAG8LC247630, like new, 4wd, white,, 6 cylinders,,33995
799, gas,2017 mazda cx5, 62200,"$21,990", clean, automatic,, excellent, fwd, black, SUV, 4 cylinders, full-size,21990
800, gas,2016 Honda CR-V, 73066,"$24,495", clean, automatic, 2HKRM4H76GH101996, like new, 4wd, blue,, 4 cylinders,,24495
801, gas,2017 mazda mazda3, 44682,"$16,990", clean, automatic,, excellent, fwd, blue, sedan, 4 cylinders, full-size,16990
802, gas,2010 bmw 328i, 119902,"$9,900", clean, automatic,, excellent, 4wd, silver, sedan, 6 cylinders, full-size,9900
803, gas,2017 Jeep Wrangler Unlimited Rubicon, 47254,"$41,999", clean, manual,, like new, 4wd, brown, SUV, 6 cylinders,,41999
804, gas,2010 BMW 328, 103521,"$12,998", clean, manual, WBAPK7C52AA460665, excellent, 4wd, blue, sedan,,,12998
805, gas,1996 Dodge Caravan, 225000,"$2,500", clean, automatic,, excellent, fwd, white, mini-van, 6 cylinders, full-size,2500
806, gas,2018 Toyota Corolla, 59900,"$18,998", clean, automatic,,, , custom, sedan,,,18998
807, gas,2019 mazda mazda3 sport gt, 45000,"$24,968", clean, automatic, JM1BPBMM1K1125972, excellent, 4wd, grey, hatchback, 4 cylinders, compact,24968
808, gas,2013 ford focus titanium, 137000,"$7,000", clean, automatic,,,,, hatchback,,,7000
809, gas,2018 Honda Civic, 23263,"$18,850", clean, automatic, 2HGFC2F58JH013920, excellent, fwd,, sedan,,,18850
810, gas,2018 kia forte, 48320,"$13,900", clean, automatic,, excellent, fwd, blue, sedan, 4 cylinders, compact,13900
811, gas,1997 jaguar xj6, 184000,"$9,500", clean, automatic,, excellent, rwd, red, sedan, 6 cylinders, full-size,9500
812, diesel,2015 mercedes-benz glk, 70055,"$24,900", clean, automatic,, like new, 4wd, grey, SUV, 4 cylinders, full-size,24900
813, gas,2003 toyota corolla, 142000,"$3,950", clean, automatic,,,,,,,,3950
814, gas,2018 mazda cx-5 gt awd, 52525,"$25,986", clean, automatic, JM3KFBDM1J0300722, excellent, 4wd, black, SUV, 4 cylinders, mid-size,25986
815, gas,2014 mercedes benz cla250 4matic, 50000,"$25,998", clean, automatic, WDDSJ4GB6EN079579, excellent, 4wd, white, coupe, 4 cylinders, compact,25998
816, diesel,2015 mercedes benz ml350, 72800,"$33,900", clean, automatic,, excellent, 4wd, silver, SUV, 6 cylinders, full-size,33900
817, gas,1999 toyota corolla, 188000,"$2,400", clean, automatic,, excellent, fwd, red, sedan,,,2400
818, diesel,2014 Ford F-250 FX4 Power Stroke, 214,"$27,888", clean, automatic,, excellent, 4wd, white, truck, 8 cylinders,,27888
819, gas,2018 mercedes benz c300, 28855,"$35,900", clean, automatic,, like new, 4wd, white, sedan, 4 cylinders, full-size,35900
820, gas,"2017 Ford F150 Crew, Lariat", 55936,"$44,982", clean, automatic,, excellent, 4wd, silver, truck, 6 cylinders, full-size,44982
821, gas,2017 mazda cx-5 gt awd, 65143,"$26,968", clean, automatic, JM3KFBDL2H0103091, excellent, 4wd, black, SUV, 4 cylinders, mid-size,26968
822, gas,2020 Jeep Grand Cherokee Limited, 17812,"$41,998", clean, automatic,, like new, 4wd, red, SUV, 6 cylinders,,41998
823, gas,2014 BMW 428i, 92028,"$19,998", clean, automatic, WBA3N5C55EF715702, excellent, 4wd, white, coupe,,,19998
